,symbol,metric,value
1832,CAG,Ex-Dividend Date,"Nov 01, 2023"
1833,CAG,1y Target Est,30.36
1834,COP,Previous Close,114.59
1835,COP,Open,114.99
1836,COP,Bid,115.21 x 800
1837,COP,Ask,116.50 x 900
1838,COP,Day's Range,114.59 - 116.57
1839,COP,52 Week Range,91.53 - 130.55
1840,COP,Volume,"4,013,373"
1841,COP,Avg. Volume,"4,963,865"
1842,COP,Market Cap,137.015B
1843,COP,Beta (5Y Monthly),1.29
1844,COP,PE Ratio (TTM),12.49
1845,COP,EPS (TTM),9.24
1846,COP,Earnings Date,"Jan 31, 2024 - Feb 05, 2024"
1847,COP,Forward Dividend & Yield,2.29 (2.00%)
1848,COP,Ex-Dividend Date,"Nov 13, 2023"
1849,COP,1y Target Est,139.92
1850,ED,Previous Close,90.94
1851,ED,Open,91.03
1852,ED,Bid,90.25 x 900
1853,ED,Ask,90.32 x 800
1854,ED,Day's Range,90.17 - 91.18
1855,ED,52 Week Range,80.46 - 100.92
1856,ED,Volume,"107,268"
1857,ED,Avg. Volume,"2,146,853"
1858,ED,Market Cap,31.166B
1859,ED,Beta (5Y Monthly),0.38
1860,ED,PE Ratio (TTM),13.34
1861,ED,EPS (TTM),6.77
1862,ED,Earnings Date,"Feb 14, 2024 - Feb 19, 2024"
1863,ED,Forward Dividend & Yield,3.24 (3.56%)
1864,ED,Ex-Dividend Date,"Nov 14, 2023"
1865,ED,1y Target Est,88.71
1866,STZ,Previous Close,236.95
1867,STZ,Open,237.32
1868,STZ,Bid,233.84 x 1300
1869,STZ,Ask,234.24 x 1200
1870,STZ,Day's Range,233.29 - 237.12
1871,STZ,52 Week Range,208.12 - 273.65
1872,STZ,Volume,"82,287"
1873,STZ,Avg. Volume,"1,017,706"
1874,STZ,Market Cap,42.949B
1875,STZ,Beta (5Y Monthly),1.05
1876,STZ,PE Ratio (TTM),27.48
1877,STZ,EPS (TTM),8.51
1878,STZ,Earnings Date,"Jan 03, 2024 - Jan 08, 2024"
1879,STZ,Forward Dividend & Yield,3.56 (1.50%)
1880,STZ,Ex-Dividend Date,"Nov 02, 2023"
1881,STZ,1y Target Est,292.52
1882,CEG,Previous Close,122.28
1883,CEG,Open,122.90
1884,CEG,Bid,122.30 x 800
1885,CEG,Ask,122.47 x 800
1886,CEG,Day's Range,121.85 - 123.18
1887,CEG,52 Week Range,71.16 - 127.24
1888,CEG,Volume,"81,222"
1889,CEG,Avg. Volume,"1,692,312"
1890,CEG,Market Cap,39.065B
1891,CEG,Beta (5Y Monthly),N/A
1892,CEG,PE Ratio (TTM),23.48
1893,CEG,EPS (TTM),5.21
1894,CEG,Earnings Date,"Feb 16, 2024 - Feb 20, 2024"
1895,CEG,Forward Dividend & Yield,1.13 (0.92%)
1896,CEG,Ex-Dividend Date,"Nov 16, 2023"
1897,CEG,1y Target Est,122.08
1898,COO,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
1899,CPRT,Previous Close,50.85
1900,CPRT,Open,50.87
1901,CPRT,Bid,50.90 x 1100
1902,CPRT,Ask,50.90 x 900
1903,CPRT,Day's Range,50.70 - 51.12
1904,CPRT,52 Week Range,29.61 - 51.53
1905,CPRT,Volume,"443,174"
1906,CPRT,Avg. Volume,"3,971,878"
1907,CPRT,Market Cap,48.7B
1908,CPRT,Beta (5Y Monthly),1.19
1909,CPRT,PE Ratio (TTM),37.29
1910,CPRT,EPS (TTM),1.36
1911,CPRT,Earnings Date,"Feb 19, 2024 - Feb 23, 2024"
1912,CPRT,Forward Dividend & Yield,N/A (N/A)
1913,CPRT,Ex-Dividend Date,N/A
1914,CPRT,1y Target Est,55.67
1915,GLW,Previous Close,28.29
1916,GLW,Open,28.25
1917,GLW,Bid,28.26 x 1800
1918,GLW,Ask,28.27 x 800
1919,GLW,Day's Range,28.11 - 28.38
1920,GLW,52 Week Range,25.26 - 37.10
1921,GLW,Volume,"564,743"
1922,GLW,Avg. Volume,"3,521,145"
1923,GLW,Market Cap,24.055B
1924,GLW,Beta (5Y Monthly),1.08
1925,GLW,PE Ratio (TTM),41.46
1926,GLW,EPS (TTM),0.68
1927,GLW,Earnings Date,"Jan 29, 2024 - Feb 02, 2024"
1928,GLW,Forward Dividend & Yield,1.12 (3.96%)
1929,GLW,Ex-Dividend Date,"Nov 16, 2023"
1930,GLW,1y Target Est,32.50
1931,CTVA,Previous Close,46.86
1932,CTVA,Open,46.84
1933,CTVA,Bid,46.67 x 1000
1934,CTVA,Ask,46.72 x 800
1935,CTVA,Day's Range,46.25 - 47.04
1936,CTVA,52 Week Range,43.22 - 67.55
1937,CTVA,Volume,"379,756"
1938,CTVA,Avg. Volume,"4,007,910"
1939,CTVA,Market Cap,32.777B
1940,CTVA,Beta (5Y Monthly),0.80
1941,CTVA,PE Ratio (TTM),29.62
1942,CTVA,EPS (TTM),1.57
1943,CTVA,Earnings Date,"Jan 30, 2024 - Feb 05, 2024"
1944,CTVA,Forward Dividend & Yield,0.64 (1.37%)
1945,CTVA,Ex-Dividend Date,"Nov 30, 2023"
1946,CTVA,1y Target Est,59.55
1947,CSGP,Previous Close,82.73
1948,CSGP,Open,82.77
1949,CSGP,Bid,82.77 x 800
1950,CSGP,Ask,82.83 x 800
1951,CSGP,Day's Range,82.08 - 83.00
1952,CSGP,52 Week Range,65.12 - 92.36
1953,CSGP,Volume,"974,854"
1954,CSGP,Avg. Volume,"1,833,785"
1955,CSGP,Market Cap,33.782B
1956,CSGP,Beta (5Y Monthly),0.87
1957,CSGP,PE Ratio (TTM),83.56
1958,CSGP,EPS (TTM),0.99
1959,CSGP,Earnings Date,"Oct 24, 2023"
1960,CSGP,Forward Dividend & Yield,N/A (N/A)
1961,CSGP,Ex-Dividend Date,N/A
1962,CSGP,1y Target Est,88.08
1963,COST,Previous Close,577.15
1964,COST,Open,577.34
1965,COST,Bid,580.74 x 900
1966,COST,Ask,580.89 x 900
1967,COST,Day's Range,577.34 - 582.32
1968,COST,52 Week Range,447.90 - 599.89
1969,COST,Volume,"1,494,898"
1970,COST,Avg. Volume,"1,741,643"
1971,COST,Market Cap,257.144B
1972,COST,Beta (5Y Monthly),0.78
1973,COST,PE Ratio (TTM),41.07
1974,COST,EPS (TTM),14.14
1975,COST,Earnings Date,"Dec 14, 2023"
1976,COST,Forward Dividend & Yield,4.08 (0.71%)
1977,COST,Ex-Dividend Date,"Nov 02, 2023"
1978,COST,1y Target Est,545.34
1979,CTRA,Previous Close,26.68
1980,CTRA,Open,26.59
1981,CTRA,Bid,26.48 x 2900
1982,CTRA,Ask,26.49 x 1200
1983,CTRA,Day's Range,26.36 - 26.67
1984,CTRA,52 Week Range,22.25 - 29.89
1985,CTRA,Volume,"507,587"
1986,CTRA,Avg. Volume,"6,195,234"
1987,CTRA,Market Cap,19.873B
1988,CTRA,Beta (5Y Monthly),0.32
1989,CTRA,PE Ratio (TTM),9.14
1990,CTRA,EPS (TTM),2.89
1991,CTRA,Earnings Date,"Feb 20, 2024 - Feb 26, 2024"
1992,CTRA,Forward Dividend & Yield,0.80 (3.00%)
1993,CTRA,Ex-Dividend Date,"Nov 15, 2023"
1994,CTRA,1y Target Est,32.65
1995,CCI,Previous Close,104.43
1996,CCI,Open,103.50
1997,CCI,Bid,104.31 x 1200
1998,CCI,Ask,104.44 x 800
1999,CCI,Day's Range,104.14 - 104.54
2000,CCI,52 Week Range,84.72 - 153.98
2001,CCI,Volume,"114,404"
2002,CCI,Avg. Volume,"3,441,959"
2003,CCI,Market Cap,45.286B
2004,CCI,Beta (5Y Monthly),0.67
2005,CCI,PE Ratio (TTM),29.17
2006,CCI,EPS (TTM),3.58
2007,CCI,Earnings Date,"Jan 23, 2024 - Jan 29, 2024"
2008,CCI,Forward Dividend & Yield,6.26 (5.99%)
2009,CCI,Ex-Dividend Date,"Dec 14, 2023"
2010,CCI,1y Target Est,103.06
2011,CSX,Previous Close,32.06
2012,CSX,Open,32.10
2013,CSX,Bid,32.10 x 800
2014,CSX,Ask,32.11 x 1200
2015,CSX,Day's Range,31.93 - 32.19
2016,CSX,52 Week Range,27.60 - 34.38
2017,CSX,Volume,"5,598,433"
2018,CSX,Avg. Volume,"13,209,542"
2019,CSX,Market Cap,63.533B
2020,CSX,Beta (5Y Monthly),1.20
2021,CSX,PE Ratio (TTM),17.01
2022,CSX,EPS (TTM),1.89
2023,CSX,Earnings Date,"Jan 23, 2024 - Jan 29, 2024"
2024,CSX,Forward Dividend & Yield,0.44 (1.37%)
2025,CSX,Ex-Dividend Date,"Nov 29, 2023"
2026,CSX,1y Target Est,36.29
2027,CMI,Previous Close,224.16
2028,CMI,Open,225.00
2029,CMI,Bid,222.65 x 1100
2030,CMI,Ask,223.32 x 800
2031,CMI,Day's Range,222.85 - 224.20
2032,CMI,52 Week Range,203.18 - 265.28
2033,CMI,Volume,"20,130"
2034,CMI,Avg. Volume,"777,076"
2035,CMI,Market Cap,31.604B
2036,CMI,Beta (5Y Monthly),1.07
2037,CMI,PE Ratio (TTM),11.35
2038,CMI,EPS (TTM),19.64
2039,CMI,Earnings Date,"Feb 05, 2024 - Feb 09, 2024"
2040,CMI,Forward Dividend & Yield,6.72 (3.00%)
2041,CMI,Ex-Dividend Date,"Nov 22, 2023"
2042,CMI,1y Target Est,254.79
2043,CVS,Previous Close,68.81
2044,CVS,Open,68.40
2045,CVS,Bid,68.50 x 800
2046,CVS,Ask,68.52 x 800
2047,CVS,Day's Range,67.81 - 68.73
2048,CVS,52 Week Range,64.41 - 104.83
2049,CVS,Volume,"3,533,900"
2050,CVS,Avg. Volume,"7,413,225"
2051,CVS,Market Cap,88.191B
2052,CVS,Beta (5Y Monthly),0.56
2053,CVS,PE Ratio (TTM),10.49
2054,CVS,EPS (TTM),6.53
2055,CVS,Earnings Date,"Feb 06, 2024 - Feb 12, 2024"
2056,CVS,Forward Dividend & Yield,2.42 (3.52%)
2057,CVS,Ex-Dividend Date,"Oct 19, 2023"
2058,CVS,1y Target Est,87.27
2059,DHR,Previous Close,211.03
2060,DHR,Open,214.43
2061,DHR,Bid,216.84 x 1100
2062,DHR,Ask,217.10 x 800
2063,DHR,Day's Range,213.61 - 219.06
2064,DHR,52 Week Range,182.09 - 249.59
2065,DHR,Volume,"794,361"
2066,DHR,Avg. Volume,"3,082,315"
2067,DHR,Market Cap,160.502B
2068,DHR,Beta (5Y Monthly),0.83
2069,DHR,PE Ratio (TTM),27.39
2070,DHR,EPS (TTM),7.93
2071,DHR,Earnings Date,"Jan 22, 2024 - Jan 26, 2024"
2072,DHR,Forward Dividend & Yield,1.08 (0.51%)
2073,DHR,Ex-Dividend Date,"Oct 11, 2023"
2074,DHR,1y Target Est,235.25
2075,DRI,Previous Close,154.03
2076,DRI,Open,154.21
2077,DRI,Bid,153.94 x 900
2078,DRI,Ask,154.14 x 900
2079,DRI,Day's Range,153.74 - 154.50
2080,DRI,52 Week Range,131.90 - 173.06
2081,DRI,Volume,"81,845"
2082,DRI,Avg. Volume,"1,097,356"
2083,DRI,Market Cap,18.559B
2084,DRI,Beta (5Y Monthly),1.25
2085,DRI,PE Ratio (TTM),19.19
2086,DRI,EPS (TTM),8.04
2087,DRI,Earnings Date,"Dec 15, 2023"
2088,DRI,Forward Dividend & Yield,5.04 (3.27%)
2089,DRI,Ex-Dividend Date,"Oct 06, 2023"
2090,DRI,1y Target Est,168.65
2091,DVA,Previous Close,97.53
2092,DVA,Open,97.44
2093,DVA,Bid,98.01 x 900
2094,DVA,Ask,98.26 x 900
2095,DVA,Day's Range,97.56 - 98.33
2096,DVA,52 Week Range,69.55 - 116.97
2097,DVA,Volume,"124,090"
2098,DVA,Avg. Volume,"1,268,873"
2099,DVA,Market Cap,8.976B
2100,DVA,Beta (5Y Monthly),0.98
2101,DVA,PE Ratio (TTM),15.26
2102,DVA,EPS (TTM),6.44
2103,DVA,Earnings Date,"Feb 20, 2024 - Feb 26, 2024"
2104,DVA,Forward Dividend & Yield,N/A (N/A)
2105,DVA,Ex-Dividend Date,N/A
2106,DVA,1y Target Est,104.33
2107,DE,Previous Close,384.15
2108,DE,Open,382.51
2109,DE,Bid,380.05 x 900
2110,DE,Ask,380.94 x 900
2111,DE,Day's Range,379.44 - 384.83
2112,DE,52 Week Range,345.55 - 450.00
2113,DE,Volume,"2,161,211"
2114,DE,Avg. Volume,"1,373,030"
2115,DE,Market Cap,109.535B
2116,DE,Beta (5Y Monthly),1.08
2117,DE,PE Ratio (TTM),11.38
2118,DE,EPS (TTM),33.43
2119,DE,Earnings Date,"Nov 22, 2023"
2120,DE,Forward Dividend & Yield,5.40 (1.41%)
2121,DE,Ex-Dividend Date,"Sep 28, 2023"
2122,DE,1y Target Est,403.75
2123,DAL,Previous Close,36.50
2124,DAL,Open,36.28
2125,DAL,Bid,36.06 x 1000
2126,DAL,Ask,36.07 x 1000
2127,DAL,Day's Range,35.90 - 36.34
2128,DAL,52 Week Range,30.60 - 49.81
2129,DAL,Volume,"1,126,637"
2130,DAL,Avg. Volume,"9,425,101"
2131,DAL,Market Cap,23.124B
2132,DAL,Beta (5Y Monthly),1.37
2133,DAL,PE Ratio (TTM),6.78
2134,DAL,EPS (TTM),5.30
2135,DAL,Earnings Date,"Jan 11, 2024 - Jan 15, 2024"
2136,DAL,Forward Dividend & Yield,0.40 (1.10%)
2137,DAL,Ex-Dividend Date,"Oct 11, 2023"
2138,DAL,1y Target Est,53.35
2139,XRAY,Previous Close,29.94
2140,XRAY,Open,30.64
2141,XRAY,Bid,30.92 x 1000
2142,XRAY,Ask,30.93 x 1100
2143,XRAY,Day's Range,30.59 - 31.22
2144,XRAY,52 Week Range,26.27 - 43.24
2145,XRAY,Volume,"1,014,250"
2146,XRAY,Avg. Volume,"2,772,535"
2147,XRAY,Market Cap,6.523B
2148,XRAY,Beta (5Y Monthly),1.00
2149,XRAY,PE Ratio (TTM),N/A
2150,XRAY,EPS (TTM),-1.01
2151,XRAY,Earnings Date,"Nov 02, 2023"
2152,XRAY,Forward Dividend & Yield,0.56 (1.87%)
2153,XRAY,Ex-Dividend Date,"Sep 28, 2023"
2154,XRAY,1y Target Est,34.50
2155,DVN,Previous Close,45.65
2156,DVN,Open,45.29
2157,DVN,Bid,45.04 x 900
2158,DVN,Ask,45.05 x 900
2159,DVN,Day's Range,44.96 - 45.39
2160,DVN,52 Week Range,42.59 - 70.43
2161,DVN,Volume,"1,081,090"
2162,DVN,Avg. Volume,"8,884,831"
2163,DVN,Market Cap,28.937B
2164,DVN,Beta (5Y Monthly),2.33
2165,DVN,PE Ratio (TTM),7.69
2166,DVN,EPS (TTM),5.87
2167,DVN,Earnings Date,"Feb 12, 2024 - Feb 16, 2024"
2168,DVN,Forward Dividend & Yield,2.87 (6.29%)
2169,DVN,Ex-Dividend Date,"Dec 14, 2023"
2170,DVN,1y Target Est,56.88
2171,DXCM,Previous Close,108.96
2172,DXCM,Open,108.42
2173,DXCM,Bid,108.67 x 800
2174,DXCM,Ask,108.91 x 800
2175,DXCM,Day's Range,107.82 - 109.34
2176,DXCM,52 Week Range,74.75 - 139.55
2177,DXCM,Volume,"266,944"
2178,DXCM,Avg. Volume,"5,243,307"
2179,DXCM,Market Cap,42.124B
2180,DXCM,Beta (5Y Monthly),1.13
2181,DXCM,PE Ratio (TTM),121.14
2182,DXCM,EPS (TTM),0.90
2183,DXCM,Earnings Date,"Feb 07, 2024 - Feb 12, 2024"
2184,DXCM,Forward Dividend & Yield,N/A (N/A)
2185,DXCM,Ex-Dividend Date,N/A
2186,DXCM,1y Target Est,124.45
2187,FANG,Previous Close,156.15
2188,FANG,Open,155.24
2189,FANG,Bid,154.32 x 1100
2190,FANG,Ask,154.61 x 1200
2191,FANG,Day's Range,153.57 - 155.52
2192,FANG,52 Week Range,119.01 - 171.40
2193,FANG,Volume,"143,771"
2194,FANG,Avg. Volume,"1,986,053"
2195,FANG,Market Cap,27.568B
2196,FANG,Beta (5Y Monthly),1.97
2197,FANG,PE Ratio (TTM),8.74
2198,FANG,EPS (TTM),17.63
2199,FANG,Earnings Date,"Feb 19, 2024 - Feb 23, 2024"
2200,FANG,Forward Dividend & Yield,6.88 (4.41%)
2201,FANG,Ex-Dividend Date,"Aug 09, 2023"
2202,FANG,1y Target Est,186.25
2203,DLR,Previous Close,135.84
2204,DLR,Open,135.73
2205,DLR,Bid,136.17 x 1000
2206,DLR,Ask,136.41 x 1400
2207,DLR,Day's Range,135.27 - 137.24
2208,DLR,52 Week Range,86.33 - 137.24
2209,DLR,Volume,"112,792"
2210,DLR,Avg. Volume,"1,959,168"
2211,DLR,Market Cap,42.205B
2212,DLR,Beta (5Y Monthly),0.55
2213,DLR,PE Ratio (TTM),47.21
2214,DLR,EPS (TTM),2.89
2215,DLR,Earnings Date,"Feb 14, 2024 - Feb 19, 2024"
2216,DLR,Forward Dividend & Yield,4.88 (3.59%)
2217,DLR,Ex-Dividend Date,"Sep 14, 2023"
2218,DLR,1y Target Est,127.68
2219,DFS,Previous Close,86.25
2220,DFS,Open,86.63
2221,DFS,Bid,86.43 x 900
2222,DFS,Ask,86.57 x 800
2223,DFS,Day's Range,86.06 - 86.68
2224,DFS,52 Week Range,79.04 - 122.50
2225,DFS,Volume,"121,236"
2226,DFS,Avg. Volume,"2,304,106"
2227,DFS,Market Cap,21.658B
2228,DFS,Beta (5Y Monthly),1.44
2229,DFS,PE Ratio (TTM),6.42
2230,DFS,EPS (TTM),13.50
2231,DFS,Earnings Date,"Jan 16, 2024 - Jan 22, 2024"
2232,DFS,Forward Dividend & Yield,2.70 (3.11%)
2233,DFS,Ex-Dividend Date,"Nov 21, 2023"
2234,DFS,1y Target Est,101.11
2235,DG,Previous Close,121.11
2236,DG,Open,120.91
2237,DG,Bid,121.71 x 800
2238,DG,Ask,121.74 x 800
2239,DG,Day's Range,120.39 - 122.32
2240,DG,52 Week Range,101.09 - 260.07
2241,DG,Volume,"2,113,626"
2242,DG,Avg. Volume,"4,346,907"
2243,DG,Market Cap,26.728B
2244,DG,Beta (5Y Monthly),0.37
2245,DG,PE Ratio (TTM),12.40
2246,DG,EPS (TTM),9.82
2247,DG,Earnings Date,"Dec 07, 2023"
2248,DG,Forward Dividend & Yield,2.36 (1.95%)
2249,DG,Ex-Dividend Date,"Oct 09, 2023"
2250,DG,1y Target Est,134.29
2251,DLTR,Previous Close,115.60
2252,DLTR,Open,115.73
2253,DLTR,Bid,115.25 x 900
2254,DLTR,Ask,115.32 x 900
2255,DLTR,Day's Range,114.49 - 115.97
2256,DLTR,52 Week Range,102.77 - 161.10
2257,DLTR,Volume,"149,745"
2258,DLTR,Avg. Volume,"2,515,906"
2259,DLTR,Market Cap,25.4B
2260,DLTR,Beta (5Y Monthly),0.79
2261,DLTR,PE Ratio (TTM),20.99
2262,DLTR,EPS (TTM),5.50
2263,DLTR,Earnings Date,"Nov 29, 2023"
2264,DLTR,Forward Dividend & Yield,N/A (N/A)
2265,DLTR,Ex-Dividend Date,N/A
2266,DLTR,1y Target Est,148.61
2267,D,Previous Close,46.41
2268,D,Open,46.52
2269,D,Bid,46.43 x 1100
2270,D,Ask,46.45 x 900
2271,D,Day's Range,46.14 - 46.69
2272,D,52 Week Range,39.18 - 63.94
2273,D,Volume,"308,564"
2274,D,Avg. Volume,"6,225,825"
2275,D,Market Cap,38.869B
2276,D,Beta (5Y Monthly),0.53
2277,D,PE Ratio (TTM),15.43
2278,D,EPS (TTM),3.01
2279,D,Earnings Date,"Feb 06, 2024 - Feb 12, 2024"
2280,D,Forward Dividend & Yield,2.67 (5.75%)
2281,D,Ex-Dividend Date,"Nov 30, 2023"
2282,D,1y Target Est,49.38
2283,DPZ,Previous Close,372.42
2284,DPZ,Open,372.95
2285,DPZ,Bid,0.00 x 800
2286,DPZ,Ask,0.00 x 800
2287,DPZ,Day's Range,367.90 - 372.95
2288,DPZ,52 Week Range,285.84 - 409.95
2289,DPZ,Volume,"566,512"
2290,DPZ,Avg. Volume,"608,655"
2291,DPZ,Market Cap,12.854B
2292,DPZ,Beta (5Y Monthly),0.85
2293,DPZ,PE Ratio (TTM),25.26
2294,DPZ,EPS (TTM),14.59
2295,DPZ,Earnings Date,"Oct 12, 2023"
2296,DPZ,Forward Dividend & Yield,4.84 (1.31%)
2297,DPZ,Ex-Dividend Date,"Dec 14, 2023"
2298,DPZ,1y Target Est,409.63
2299,DOV,Previous Close,137.79
2300,DOV,Open,137.75
2301,DOV,Bid,138.07 x 1200
2302,DOV,Ask,138.11 x 800
2303,DOV,Day's Range,136.50 - 138.27
2304,DOV,52 Week Range,127.25 - 160.66
2305,DOV,Volume,"675,002"
2306,DOV,Avg. Volume,"828,067"
2307,DOV,Market Cap,19.34B
2308,DOV,Beta (5Y Monthly),1.35
2309,DOV,PE Ratio (TTM),18.99
2310,DOV,EPS (TTM),7.28
2311,DOV,Earnings Date,"Jan 29, 2024 - Feb 02, 2024"
2312,DOV,Forward Dividend & Yield,2.04 (1.48%)
2313,DOV,Ex-Dividend Date,"Nov 29, 2023"
2314,DOV,1y Target Est,156.38
2315,DOW,Previous Close,51.70
2316,DOW,Open,51.67
2317,DOW,Bid,0.00 x 1000
2318,DOW,Ask,0.00 x 1200
2319,DOW,Day's Range,51.36 - 51.89
2320,DOW,52 Week Range,47.26 - 60.88
2321,DOW,Volume,"3,753,822"
2322,DOW,Avg. Volume,"4,055,963"
2323,DOW,Market Cap,36.248B
2324,DOW,Beta (5Y Monthly),1.33
2325,DOW,PE Ratio (TTM),28.09
2326,DOW,EPS (TTM),1.84
2327,DOW,Earnings Date,"Jan 25, 2024"
2328,DOW,Forward Dividend & Yield,2.80 (5.42%)
2329,DOW,Ex-Dividend Date,"Nov 29, 2023"
2330,DOW,1y Target Est,54.50
2331,DHI,Previous Close,128.40
2332,DHI,Open,127.92
2333,DHI,Bid,127.97 x 800
2334,DHI,Ask,127.94 x 1000
2335,DHI,Day's Range,127.35 - 128.19
2336,DHI,52 Week Range,81.30 - 132.30
2337,DHI,Volume,"277,039"
2338,DHI,Avg. Volume,"2,618,506"
2339,DHI,Market Cap,42.467B
2340,DHI,Beta (5Y Monthly),1.54
2341,DHI,PE Ratio (TTM),9.22
2342,DHI,EPS (TTM),13.82
2343,DHI,Earnings Date,"Jan 22, 2024 - Jan 26, 2024"
2344,DHI,Forward Dividend & Yield,1.20 (0.93%)
2345,DHI,Ex-Dividend Date,"Nov 20, 2023"
2346,DHI,1y Target Est,143.16
2347,DTE,Previous Close,102.87
2348,DTE,Open,103.04
2349,DTE,Bid,102.49 x 1000
2350,DTE,Ask,102.82 x 1100
2351,DTE,Day's Range,102.14 - 103.01
2352,DTE,52 Week Range,90.14 - 122.41
2353,DTE,Volume,"17,153"
2354,DTE,Avg. Volume,"1,489,987"
2355,DTE,Market Cap,21.068B
2356,DTE,Beta (5Y Monthly),0.65
2357,DTE,PE Ratio (TTM),16.88
2358,DTE,EPS (TTM),6.05
2359,DTE,Earnings Date,"Feb 21, 2024 - Feb 26, 2024"
2360,DTE,Forward Dividend & Yield,3.81 (3.70%)
2361,DTE,Ex-Dividend Date,"Sep 15, 2023"
2362,DTE,1y Target Est,110.33
2363,DUK,Previous Close,89.30
2364,DUK,Open,89.52
2365,DUK,Bid,89.16 x 900
2366,DUK,Ask,90.12 x 1200
2367,DUK,Day's Range,88.80 - 89.77
2368,DUK,52 Week Range,83.06 - 106.43
2369,DUK,Volume,"94,283"
2370,DUK,Avg. Volume,"3,451,532"
2371,DUK,Market Cap,68.466B
2372,DUK,Beta (5Y Monthly),0.46
2373,DUK,PE Ratio (TTM),18.78
2374,DUK,EPS (TTM),4.73
2375,DUK,Earnings Date,"Feb 07, 2024 - Feb 12, 2024"
2376,DUK,Forward Dividend & Yield,4.06 (4.55%)
2377,DUK,Ex-Dividend Date,"Nov 16, 2023"
2378,DUK,1y Target Est,97.88
2379,DD,Previous Close,71.36
2380,DD,Open,71.21
2381,DD,Bid,71.00 x 800
2382,DD,Ask,71.01 x 900
2383,DD,Day's Range,70.79 - 71.30
2384,DD,52 Week Range,62.80 - 78.74
2385,DD,Volume,"233,840"
2386,DD,Avg. Volume,"2,483,668"
2387,DD,Market Cap,30.447B
2388,DD,Beta (5Y Monthly),1.19
2389,DD,PE Ratio (TTM),35.94
2390,DD,EPS (TTM),1.97
2391,DD,Earnings Date,"Feb 05, 2024 - Feb 09, 2024"
2392,DD,Forward Dividend & Yield,1.44 (2.02%)
2393,DD,Ex-Dividend Date,"Nov 29, 2023"
2394,DD,1y Target Est,91.78
2395,EMN,Previous Close,81.52
2396,EMN,Open,81.59
2397,EMN,Bid,0.00 x 800
2398,EMN,Ask,0.00 x 800
2399,EMN,Day's Range,80.90 - 82.39
2400,EMN,52 Week Range,68.89 - 92.21
2401,EMN,Volume,"763,352"
2402,EMN,Avg. Volume,"883,531"
2403,EMN,Market Cap,9.71B
2404,EMN,Beta (5Y Monthly),1.49
2405,EMN,PE Ratio (TTM),16.45
2406,EMN,EPS (TTM),4.98
2407,EMN,Earnings Date,"Jan 24, 2024 - Jan 29, 2024"
2408,EMN,Forward Dividend & Yield,3.16 (3.86%)
2409,EMN,Ex-Dividend Date,"Sep 14, 2023"
2410,EMN,1y Target Est,86.72
2411,ETN,Previous Close,226.92
2412,ETN,Open,226.63
2413,ETN,Bid,227.27 x 800
2414,ETN,Ask,227.40 x 800
2415,ETN,Day's Range,225.84 - 227.56
2416,ETN,52 Week Range,150.86 - 240.44
2417,ETN,Volume,"294,371"
2418,ETN,Avg. Volume,"2,197,150"
2419,ETN,Market Cap,90.242B
2420,ETN,Beta (5Y Monthly),1.07
2421,ETN,PE Ratio (TTM),30.25
2422,ETN,EPS (TTM),7.47
2423,ETN,Earnings Date,"Oct 31, 2023"
2424,ETN,Forward Dividend & Yield,3.44 (1.52%)
2425,ETN,Ex-Dividend Date,"Nov 03, 2023"
2426,ETN,1y Target Est,233.12
2427,EBAY,Previous Close,39.45
2428,EBAY,Open,40.01
2429,EBAY,Bid,39.33 x 1800
2430,EBAY,Ask,39.34 x 800
2431,EBAY,Day's Range,39.13 - 39.51
2432,EBAY,52 Week Range,37.17 - 52.23
2433,EBAY,Volume,"476,510"
2434,EBAY,Avg. Volume,"5,713,201"
2435,EBAY,Market Cap,20.467B
2436,EBAY,Beta (5Y Monthly),1.33
2437,EBAY,PE Ratio (TTM),7.92
2438,EBAY,EPS (TTM),4.98
2439,EBAY,Earnings Date,"Feb 20, 2024 - Feb 26, 2024"
2440,EBAY,Forward Dividend & Yield,1.00 (2.53%)
2441,EBAY,Ex-Dividend Date,"Nov 30, 2023"
2442,EBAY,1y Target Est,45.01
2443,ECL,Previous Close,184.98
2444,ECL,Open,182.68
2445,ECL,Bid,185.04 x 900
2446,ECL,Ask,186.07 x 1200
2447,ECL,Day's Range,185.51 - 186.62
2448,ECL,52 Week Range,140.13 - 191.41
2449,ECL,Volume,"43,051"
2450,ECL,Avg. Volume,"1,025,001"
2451,ECL,Market Cap,53.102B
2452,ECL,Beta (5Y Monthly),1.05
2453,ECL,PE Ratio (TTM),43.21
2454,ECL,EPS (TTM),4.31
2455,ECL,Earnings Date,"Feb 12, 2024 - Feb 16, 2024"
2456,ECL,Forward Dividend & Yield,2.12 (1.15%)
2457,ECL,Ex-Dividend Date,"Sep 18, 2023"
2458,ECL,1y Target Est,194.84
2459,EIX,Previous Close,65.93
2460,EIX,Open,65.56
2461,EIX,Bid,65.66 x 800
2462,EIX,Ask,65.68 x 800
2463,EIX,Day's Range,64.68 - 66.09
2464,EIX,52 Week Range,58.82 - 74.92
2465,EIX,Volume,"705,608"
2466,EIX,Avg. Volume,"2,015,379"
2467,EIX,Market Cap,25.25B
2468,EIX,Beta (5Y Monthly),0.87
2469,EIX,PE Ratio (TTM),20.51
